Source Line,Source,CPU_CLK_UNHALTED.THREAD_ANY,OFFCORE_RESPONSE:request=ALL_DATA_RD:response=L3_MISS.ANY_DRAM,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,CYCLE_ACTIVITY.STALLS_L2_PENDING,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,MEM_UOPS_RETIRED.ALL_LOADS_PS,MEM_UOPS_RETIRED.ALL_STORES,MEM_UOPS_RETIRED.ALL_STORES_PS,CPU_CLK_UNHALTED.THREAD_ANY,CPU_CLK_UNHALTED.REF_TSC,CYCLE_ACTIVITY.STALLS_L1D_PENDING,OFFCORE_RESPONSE:request=ALL_DATA_RD:response=L3_MISS.ANY_DRAM,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,CYCLE_ACTIVITY.STALLS_L2_PENDING,L2_RQSTS.MISS,MISALIGN_MEM_REF.LOADS,MISALIGN_MEM_REF.STORES,CYCLE_ACTIVITY.STALLS_LDM_PENDING,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,RESOURCE_STALLS.SB,RS_EVENTS.EMPTY_CYCLES,UOPS_RETIRED.ALL,UOPS_RETIRED.RETIRE_SLOTS,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,MEM_UOPS_RETIRED.ALL_LOADS_PS,MEM_UOPS_RETIRED.ALL_STORES,MEM_UOPS_RETIRED.ALL_STORES_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS
432,"      DO l=z_min,z_max+1",2000003,0,0,10000015,0,0,500015,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
433,"        DO k=y_min-1,y_max+2",20000030,0,10000015,30000045,0,80000120,0,0,0,0,0,0,0,105000315,0,0,10,8,2,0,1,3,1,0,0,3,0,8,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
434,"          DO j=x_min,x_max+1",536000804,0,160000240,130000195,0,0,0,0,0,250105,0,0,0,30000090,20000030,0,268,146,9,0,16,13,34,0,0,8,0,0,0,0,2,63,52,0,0,1,0,0,0,6,2,0,0,0,0,0,0
435,"            node_mass_post(j,k,l)=0.125_8*(density1(j  ,k-1,l  )*post_vol(j  ,k-1,l  )                     &",4410006615,0,2030003045,2080003120,0,7670011505,500015,0,500210,1500630,250015,1500045,250015,6680020040,80000120,370005550,2205,1365,205,0,203,208,170,0,0,202,0,767,1,1,8,668,546,0,2,6,1,3,1,1336,8,370,2,1,1,1,0
436,"                                          +density1(j  ,k  ,l  )*post_vol(j  ,k  ,l  )                     &",7914011871,0,6810010215,6460009690,2500075,380000570,12000360,7000210,5502310,1750735,3500210,0,4000240,705002115,40000060,0,3957,2339,645,0,681,646,130,0,0,663,5,38,24,0,7,350,267,14,22,7,14,0,16,141,4,0,22,14,16,24,5
437,"                                          +density1(j-1,k-1,l  )*post_vol(j-1,k-1,l  )                     &",964001446,0,240000360,210000315,0,1100001650,0,0,0,250105,0,0,0,1230003690,120000180,0,482,285,29,0,24,21,47,0,0,22,0,110,0,0,1,210,168,0,0,1,0,0,0,246,12,0,0,0,0,0,0
438,"                                          +density1(j-1,k  ,l  )*post_vol(j-1,k  ,l  )                     &",570000855,0,130000195,110000165,0,970001455,0,500015,250105,1000420,250015,0,250015,915002745,10000015,0,285,199,8,0,13,11,34,0,0,6,0,97,0,0,1,194,129,1,1,4,1,0,1,183,1,0,1,1,1,0,0
439,"                                          +density1(j  ,k-1,l-1)*post_vol(j  ,k-1,l-1)                     &",866001299,0,130000195,150000225,0,490000735,500015,0,250105,2501050,250015,3000090,0,610001830,0,0,433,288,17,0,13,15,39,0,0,13,0,49,1,0,0,286,210,0,1,10,1,6,0,122,0,0,1,1,0,1,0
440,"                                          +density1(j  ,k  ,l-1)*post_vol(j  ,k  ,l-1)                     &",1902002853,0,1000001500,990001485,1000030,710001065,11500345,7500225,4251785,750315,4500270,0,750045,660001980,10000015,0,951,517,85,0,100,99,50,0,0,119,2,71,23,0,4,250,151,15,17,3,18,0,3,132,1,0,17,18,3,23,2
441,"                                          +density1(j-1,k-1,l-1)*post_vol(j-1,k-1,l-1)                     &",818001227,0,180000270,140000210,0,410000615,0,0,0,0,0,0,0,485001455,0,0,409,276,7,0,18,14,48,0,0,18,0,41,0,0,4,271,192,0,0,0,0,0,0,97,0,0,0,0,0,0,0
442,"                                          +density1(j-1,k  ,l-1)*post_vol(j-1,k  ,l-1))",962001443,0,260000390,210000315,0,370000555,0,0,0,250105,0,0,0,510001530,70000105,0,481,301,10,0,26,21,69,0,0,26,0,37,0,0,2,374,297,0,0,1,0,0,0,102,7,0,0,0,0,0,0
443,          ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,      iter=(z_max-z_min+2)*(y_max-y_min+4)*(x_max-x_min+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,      tmpFlop=iter*16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,      tmpMem=iter*17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,      flop=flop+tmpFlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,      mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,      tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,      tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,"      DO l=z_min,z_max+1",2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,"        DO k=y_min-1,y_max+2",12000018,0,0,10000015,0,20000030,0,0,0,250105,0,0,0,20000060,0,0,6,1,2,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
461,"          DO j=x_min,x_max+1",92000138,0,90000135,100000150,0,0,0,0,0,750315,0,1500045,0,5000015,0,0,46,48,5,0,9,10,6,0,0,7,0,0,0,0,1,9,5,0,0,3,0,3,0,1,0,0,0,0,0,0,0
462,"            node_mass_pre(j,k,l)=node_mass_post(j,k,l)-node_flux(j,k-1,l)+node_flux(j,k,l)",16336024504,0,13930020895,13640020460,56501695,1070001605,117503525,24500735,91038220,31013020,37252235,51501545,57503450,1950005850,420000630,386005790,8168,4898,1379,0,1393,1364,384,0,0,1434,113,107,235,1,12,479,328,49,364,124,149,103,230,390,42,386,364,149,230,235,113
463,          ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,    iter=(z_max-z_min+2)*(y_max-y_min+4)*(x_max-x_min+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,    tmpFlop=iter*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,    tmpMem=iter*4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,    flop=flop+tmpFlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,    mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,    tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,    tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,limiter_count=0,2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,"!$OMP DO PRIVATE(upwind,donor,downwind,dif,sigma,width,limiter,vdiffuw,vdiffdw,auw,adw,wind) REDUCTION (+:limiter_count)",2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,"    DO l=z_min,z_max+1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,"      DO k=y_min-1,y_max+1",38000057,0,20000030,10000015,0,10000015,0,0,0,0,0,0,0,55000165,0,0,19,10,2,0,2,1,4,0,0,1,0,1,0,0,1,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0
484,"        DO j=x_min,x_max+1",1854002781,0,490000735,230000345,0,0,0,0,0,0,0,1000030,0,5000015,60000090,0,927,536,12,0,49,23,33,0,0,16,0,0,0,0,7,425,420,0,0,0,0,2,0,1,6,0,0,0,0,0,0
485,"          IF(node_flux(j,k,l).LT.0.0)THEN",4384006576,0,2520003780,2230003345,1500045,13510020265,5000150,2500075,2250945,1750735,750045,500015,1250075,13480040440,60000090,0,2192,1401,231,0,252,223,69,0,0,249,3,1351,10,0,3,538,465,5,9,7,3,1,5,2696,6,0,9,3,5,10,3
486,            upwind=k+2,198000297,0,20000030,10000015,0,410000615,0,0,0,0,0,0,0,300000900,0,0,99,50,0,0,2,1,2,0,0,3,0,41,0,0,4,4,6,0,0,0,0,0,0,60,0,0,0,0,0,0,0
487,            donor=k+1,140000210,0,30000045,0,0,0,0,0,0,0,0,0,0,0,0,0,70,49,1,0,3,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,            downwind=k,44000066,0,0,0,0,210000315,0,0,0,0,0,0,0,180000540,0,0,22,7,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
489,            dif=donor,694001041,0,120000180,70000105,0,0,0,0,0,0,0,0,0,0,0,0,347,181,0,0,12,7,14,0,0,10,0,0,0,0,0,270,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,          ELSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,            upwind=k-1,440000660,0,120000180,40000060,0,870001305,0,0,0,250105,0,0,0,760002280,10000015,36000540,220,137,1,0,12,4,14,0,0,2,0,87,0,0,0,57,59,0,0,1,0,0,0,152,1,36,0,0,0,0,0
492,            donor=k,174000261,0,0,0,0,710001065,0,0,0,0,0,0,0,695002085,0,0,87,56,0,0,0,0,9,0,0,0,0,71,0,0,0,3,10,0,0,0,0,0,0,139,0,0,0,0,0,0,0
493,            downwind=k+1,22000033,0,30000045,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,3,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,            dif=upwind,988001482,0,150000225,40000060,0,400000600,0,0,0,0,0,0,0,425001275,10000015,0,494,294,1,0,15,4,24,0,0,14,0,40,0,0,1,320,274,0,0,0,0,0,0,85,1,0,0,0,0,0,0
495,          ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,"          sigma=ABS(node_flux(j,k,l))/(node_mass_pre(j,donor,l))",4464006696,0,1050001575,1100001650,8500255,3910005865,48001440,19500585,18507770,0,5000300,2000060,6750405,4175012525,20000030,0,2232,1273,103,0,105,110,102,0,0,124,17,391,96,0,3,844,793,39,74,0,20,4,27,835,2,0,74,20,27,96,17
498,          width=celldy(k),16000024,0,0,0,0,0,0,500015,250105,0,250015,0,0,20000060,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,1,1,0,0,0
499,"          vdiffuw=vel1(j,donor,l)-vel1(j,upwind,l)",10948016422,0,6630009945,5610008415,5500165,2220003330,7500225,7000210,5002100,500210,1500090,0,2250135,1925005775,230000345,0,5474,3318,523,0,663,561,224,0,0,571,11,222,15,0,36,978,853,14,20,2,6,0,9,385,23,0,20,6,9,15,11
500,"          vdiffdw=vel1(j,downwind,l)-vel1(j,donor,l)",2192003288,0,180000270,30000045,1000030,70000105,1000030,1500045,250105,250105,0,1000030,750045,85000255,20000030,0,1096,629,1,0,18,3,55,0,0,8,2,7,2,0,0,549,423,3,1,1,0,2,3,17,2,0,1,0,3,2,2
501,          limiter=0.0,418000627,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,209,136,1,0,0,1,20,0,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,          IF(vdiffuw*vdiffdw.GT.0.0)THEN,3674005511,0,1420002130,1090001635,0,0,0,0,0,750315,0,0,0,0,50000075,0,1837,1102,131,0,142,109,64,0,0,146,0,0,0,0,0,174,146,0,0,3,0,0,0,0,5,0,0,0,0,0,0
504,            auw=ABS(vdiffuw),270000405,0,30000045,10000015,0,10000015,0,0,0,0,0,0,0,0,0,0,135,108,0,0,3,1,10,0,0,2,0,1,0,0,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,            adw=ABS(vdiffdw),634000951,0,50000075,10000015,0,1320001980,0,0,0,0,0,0,0,1220003660,0,0,317,183,0,0,5,1,11,0,0,1,0,132,0,0,2,25,29,0,0,0,0,0,0,244,0,0,0,0,0,0,0
506,            wind=1.0_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,            IF(vdiffdw.LE.0.0) wind=-1.0_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,"            limiter=wind*MIN(width*((2.0_8-sigma)*adw/width+(1.0_8+sigma)*auw/celldy(dif))/6.0_8,auw,adw)",22508033762,0,2320003480,840001260,0,4530006795,3500105,2000060,0,2501050,0,5500165,250015,4520013560,310000465,0,11254,6650,36,0,232,84,431,0,0,130,0,453,7,0,44,2544,2274,4,0,10,0,11,1,904,31,0,0,0,0,7,0
509,            limiter_count=limiter_count+1,246000369,0,30000045,0,0,0,0,0,0,0,0,0,250015,0,0,0,123,101,0,0,3,0,3,0,0,0,0,0,0,0,0,25,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0
510,          ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,"          advec_vel_s=vel1(j,donor,l)+(1.0_8-sigma)*limiter",11776017664,0,2020003030,710001065,0,180000270,0,0,250105,2250945,250015,2000060,500030,150000450,680001020,5000075,5888,3522,14,0,202,71,205,0,0,68,0,18,0,0,6,3689,3249,0,1,9,1,4,2,30,68,5,1,1,1,0,0
512,"          mom_flux(j,k,l)=advec_vel_s*node_flux(j,k,l)",9954014931,0,910001365,350000525,0,30000045,0,0,250105,1750735,0,500015,0,10000030,810001215,2357035355,4977,2872,11,0,91,35,180,0,0,83,0,3,0,2,6,3024,2784,0,1,7,0,1,0,2,81,2357,1,0,0,0,0
513,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,      ENDDO,24000036,0,10000015,0,0,20000030,0,0,0,0,0,0,0,5000015,0,0,12,6,0,0,1,0,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
515,    ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,  iter=(z_max-z_max+2)*(y_max-y_min+3)*(x_max-x_min+2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,  tmpFlop=tmpFlop+(iter*9)+(limiter_count*19),4000006,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,  tmpMem=tmpMem+(iter*24)+(limiter_count*20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,  flop=flop+tmpFlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,  mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,  tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,  tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,!###################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,nb_x=x_max+1,4000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,nb_y=y_max+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,nb_z=z_max+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,block_max=x_min+BLOCK_SIZE-1,0,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,!$OMP  DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,"DO bj=x_min,nb_x,BLOCK_SIZE",0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,"   DO bk=y_min,nb_x,BLOCK_SIZE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,"      DO bl=z_min,nb_y,BLOCK_SIZE",2000003,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,"        DO j=bj,block_max",0,0,0,0,0,0,0,0,0,0,0,0,0,5000015,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
541,"            DO k=bk,block_max",2000003,0,0,0,0,10000015,0,0,0,0,0,500015,0,20000060,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
542,"                DO l=bl,block_max",34000051,0,10000015,20000030,0,0,0,0,0,1250525,0,1000030,0,0,0,0,17,9,1,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
543,                    IF (j.LT.nb_x .AND. k.LT.nb_x .AND. l.LT.nb_x) THEN,22000033,0,20000030,20000030,0,0,0,0,0,500210,0,1000030,0,0,0,0,11,6,2,0,2,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0
544,"                        vel1 (j,k,l)=(vel1(j,k,l)*node_mass_pre(j,k,l)+mom_flux(j,k-1,l)-mom_flux(j,k,l))/node_mass_post(j,k,l)",2946004419,0,2040003060,2140003210,43001290,300000450,321009630,132003960,188078960,147561950,148008880,36501095,41002460,535001605,120000180,84001260,1473,800,192,0,204,214,189,0,0,213,86,30,642,0,4,154,108,264,752,590,592,73,164,107,12,84,751,591,164,642,86
545,                    ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,                ENDDO,20000030,0,10000015,20000030,0,0,0,0,0,1000420,0,2000060,0,0,0,0,10,12,3,0,1,2,1,0,0,2,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0
547,            ENDDO,4000006,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,          ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,        ENDDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,    ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,  iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,  tmpFlop=iter*7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,  tmpMem=iter*6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,  flop=flop+tmpFlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,  mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,  tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,  tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,  ELSEIF(direction.EQ.3)THEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,    IF(which_vel.EQ.1) THEN,0,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,"      DO l=z_min-2,z_max+2",0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,"        DO k=y_min,y_max+1",10000015,0,0,10000015,0,40000060,0,0,0,0,0,0,0,45000135,0,0,5,1,0,0,0,1,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0
569,"          DO j=x_min,x_max+1",172000258,0,40000060,40000060,0,10000015,0,0,0,0,0,0,0,10000030,10000015,0,86,41,3,0,4,4,4,0,0,0,0,1,0,0,1,42,26,0,0,0,0,0,0,2,1,0,0,0,0,0,0
